headword,ecdict_phonetic,ecdict_pos_raw,ecdict_primary_pos,ecdict_definition_en,ecdict_translation_zh,ecdict_collins,ecdict_oxford,ecdict_tags,ecdict_bnc_rank,ecdict_frq_rank,ecdict_exchange,oxford_cefr_levels,oxford_pos_values,oxford_entry_count,webster_fallback_available,source_coverage,human_review,review_reason
torn,tɒ:n,,,s. disrupted by the pull of contrary forces,tear的过去分词,1,F,,12597,9843,0:tear/1:d/d:torn,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tornado,tɒ:'neidәu,,,n. a localized and violently destructive windstorm occurring over land characterized by a funnel-shaped cloud extending toward the ground,"n. 旋风, 龙卷风, 大雷雨",1,F,toefl ielts gre,16319,6951,s:tornados,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
torque,tɒ:k,,,n a twisting force,"n. 扭转力, 转矩, 项圈",,F,cet6 toefl gre,8358,10225,s:torques,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
torso,'tɔ:sәu,,,n. the body excluding the head and neck and limbs,"n. 躯干, 裸体躯干雕像",1,F,gre,12384,7317,s:torsos,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tortilla,tɔ:'tilә,,,n. thin unleavened pancake made from cornmeal or wheat flour,n. 玉米饼,,F,,28878,8052,s:tortillas,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
torture,'tɒ:tʃә,,,n. unbearable physical pain,"n. 拷问, 苦闷",3,F,cet4 cet6 ky ielts gre,7091,5272,d:tortured/p:tortured/i:torturing/s:tortures/3:tortures,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
toss,tɒs,,,n. an abrupt movement,"n. 投掷, 抛, 摇摆, 震荡, 掷钱币决定",2,F,cet4 cet6 ky ielts gre,4799,2396,p:tossed/i:tossing/d:tossed/3:tosses/s:tosses,C1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
total,'tәutl,,,v. add up in number or quantity,"a. 全体的, 总的, 全然的",5,T,zk gk cet4 cet6 ky ielts,831,1038,i:totalling/p:totalled/s:totals/3:totals/d:totalled,B1|C1,adj.|n.|v.,3,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
totally,'tәutli,,,r to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),adv. 完全地,,T,gk,1608,1911,,B1,adv.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tottenham,'tɔtnəm,,,,n. 托特纳姆（伦敦的一个区）,,F,,7354,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
touch,tʌtʃ,,,n. the event of something coming in contact with the body,"n. 触觉, 碰, 触, 机灵, 轻触, 格调, 少许, 缺点, 弹力",4,T,zk gk cet4 cet6 ky toefl,1372,1166,p:touched/d:touched/i:touching/s:touches/3:touches,A2|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
touchdown,'tʌtʃdaun,,,n. a score in American football; being in possession of the ball across the opponents' goal line,"n. 触地, 触地得分, 着地",1,F,toefl,25186,4285,s:touchdowns,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
touching,'tʌtʃiŋ,,,n the event of something coming in contact with the body,"a. 动人的, 令人同情的",,F,toefl ielts gre,9649,9116,0:touch/1:i/i:touching/s:touchings,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tough,tʌf,,,a. not given to gentleness or sentimentality,n. 恶棍,4,T,gk cet4 cet6 ky toefl ielts,2160,1012,r:tougher/t:toughest/s:toughs,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tour,tuә,,,n. a journey or route all the way around a particular place or area,"n. 旅游, 观光旅行, 任期",4,T,zk gk cet4 cet6 ky ielts,1420,1474,s:tours/i:touring/p:toured/d:toured/3:tours,A2|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tourism,'tuәrizm,,,n. the business of providing services to tourists,"n. 观光业, 游览",2,F,gk ielts,4425,4721,,A2,n.,1,F,ECDICT|OXFORD_REPO,F,
tourist,'tuәrist,,,n. someone who travels for pleasure,"n. 观光客, 旅行者",3,T,zk gk ielts,2425,2394,s:tourists,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tournament,'tә:nәmәnt,,,n. a sporting competition in which contestants play a series of games to decide the winner,"n. 比赛, 竞赛, 锦标赛, 联赛",3,F,gk ky toefl ielts gre,3482,2761,s:tournaments,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tout,taut,,,n. someone who buys tickets to an event in order to resell them at a profit,"vi. 招徕顾客, 兜售物品",1,F,gre,15898,6885,d:touted/i:touting/s:touts/p:touted/3:touts,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tow,tәu,,,n. the act of hauling something (as a vehicle) by means of a hitch or rope,"n. 拖, 拖绳, 拖轮",2,F,cet6 ky toefl ielts,9914,9000,d:towed/i:towing/p:towed/s:tows/3:tows,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
toward,tә'wɒ:d,,,prep. Alt. of Towards,"prep. 向, 对于, 为了",,F,zk gk cet4 ky,4712,384,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
towards,tә'wɔ:dz,,,prep. In the direction of; to.,"prep. 向, 对于, 为了",5,T,cet4 cet6,317,2004,,A2,prep.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
towel,'tauәl,,,n. a rectangular piece of absorbent cloth (or paper) for drying or wiping,"n. 手巾, 毛巾",2,T,zk gk cet4 cet6 ky toefl ielts,4814,3682,s:towels/p:towelled/i:towelling/3:towels/d:towelled,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tower,'tauә,,,n. a structure taller than its diameter; can stand alone or be attached to a larger building,"n. 塔, 高楼, 堡垒",3,T,zk gk cet4 cet6 ky toefl ielts,2131,2412,s:towers/p:towered/i:towering/3:towers/d:towered,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
towering,'tauәriŋ,,,v appear very large or occupy a commanding position,"a. 高耸的, 激烈的",1,F,toefl,11670,9301,0:tower/1:i/i:towering,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
town,taun,,,n. an urban area with a fixed boundary that is smaller than a city,"n. 城镇, 市, 镇",5,T,zk gk ielts,433,488,s:towns,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
township,'taunʃip,,,n. an administrative division of a county,"n. 小镇, 镇区",2,F,,9202,10263,s:townships,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
toxic,'tɒksik,,,a. of or relating to or caused by a toxin or poison,"a. 有毒的, 中毒的",2,F,cet6 ky toefl ielts gre,5147,4090,s:toxics,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
toxin,'tɒksin,,,n. a poisonous substance produced during the metabolism and growth of certain microorganisms and some higher plant and animal species,n. 毒素,1,F,gre,10698,8565,s:toxins,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
toy,tɒi,,,n. a nonfunctional replica of something else (frequently used as a modifier),"n. 玩具, 小玩艺儿, 小型的东西, 消遣",3,T,zk gk cet4 cet6 ky gre,3412,2418,s:toys/p:toyed/i:toying/d:toyed/3:toys,A2,adj.|n.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trace,treis,,,n. a just detectable amount,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳",3,T,cet4 cet6 ky toefl ielts,2868,3020,d:traced/s:traces/i:tracing/p:traced/3:traces,B2|C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tracey,,,,,n. 特蕾西（女子名）,,F,,8292,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
track,træk,,,n. a pair of parallel rails providing a runway for wheels,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径",4,T,gk cet4 cet6 ky toefl ielts gre,1268,1143,s:tracks/d:tracked/p:tracked/i:tracking/3:tracks,A2|B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tracking,'trækiŋ,,,n the pursuit (of a person or animal) by following tracks or marks they left behind,"[计] 跟踪, 追踪",,F,,18671,7843,0:track/1:i/i:tracking/s:trackings,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tract,trækt,,,n. an extended area of land,"n. 大片土地, 地带, 小册子",1,F,cet6 toefl ielts gre,6081,6133,s:tracts,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
traction,'trækʃәn,,,n. (orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing,"n. 曳, 牵引, 牵引力",1,F,toefl ielts,15310,9977,s:tractions,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tractor,'træktә,,,n. a wheeled vehicle with large wheels; used in farming and other applications,"n. 牵引器, 拖拉机, 拉纸器",1,F,gk cet4 cet6 ky toefl ielts,7015,6548,s:tractors,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trade,treid,,,n. the commercial exchange (buying and selling on domestic or international markets) of goods and services,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风",5,T,zk gk cet4 cet6 ky ielts,485,800,s:trades/i:trading/d:traded/p:traded/3:trades,B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trademark,'treidmɑ:k,,,n. a formally registered symbol identifying the manufacturer or distributor of a product,n. 商标,,F,cet6 ky,14559,6787,s:trademarks/i:trademarking,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
trader,'treidә,,,n. someone who purchases and maintains an inventory of goods to be sold,"n. 商人, 商船",3,F,cet6,3829,5021,s:traders,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tradesman,'treidzmәn,,,n a merchant who owns or manages a shop,"n. 零售商, 工匠",,F,cet6,9810,22615,s:tradesmen,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trading,'treidiŋ,,,n. buying or selling securities or commodities,[经] 交易,,T,,2254,3408,0:trade/1:i/i:trading,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tradition,trә'diʃәn,,,n. an inherited pattern of thought or action,"n. 传说, 传统, 交付",3,T,gk cet4 cet6 ky,1417,1243,s:traditions,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
traditional,trә'diʃәnl,,,a. consisting of or derived from tradition,"a. 传统的, 惯例的",4,T,zk gk cet4 cet6 ielts,1006,925,,A2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
traditionally,,,,r. according to tradition; in a traditional manner,adv. 传统上；传说上；习惯上,,T,toefl,3451,3705,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
traffic,'træfik,,,n. the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量",3,T,zk gk cet4 cet6 ky toefl ielts,1423,1712,i:trafficking/p:trafficked/3:traffics/d:trafficked,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trafficking,ˈtræfikɪŋ,,,v deal illegally,n. 非法交易,,F,,16848,9676,i:trafficking/0:trafficking/1:i,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trafford,,,,,n. 特拉福德（姓氏）；特拉福德（英格兰的一个都市自治市）,,F,,9336,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
tragedy,'trædʒidi,,,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity,"n. 悲剧, 惨案, 悲剧作品",3,F,cet4 cet6 ky toefl ielts gre,3508,2883,s:tragedies,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tragic,'trædʒik,,,s. very sad; especially involving grief or death or destruction,"a. 悲惨的, 悲剧的",2,F,cet6 ky,4967,4259,,B2,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trail,treil,,,n. a track or mark left by something that has passed,"n. 踪迹, 痕迹, 一串, 尾部, 小径, 持枪姿势",3,F,cet4 cet6 ky toefl ielts,4331,1646,p:trailed/i:trailing/s:trails/3:trails/d:trailed,C1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trailer,'treilә,,,n. a large transport conveyance designed to be pulled by a truck or tractor,"n. 追踪者, 拖车",2,F,,7912,4062,s:trailers/i:trailering/d:trailered/p:trailered,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
train,trein,,,n. public transport provided by a line of railway cars coupled together and drawn by a locomotive,"n. 火车, 列车, 行列, 长队, 一连串的后果, 顺序",4,T,zk gk ielts,1186,1516,d:trained/s:trains/i:training/p:trained/3:trains,A1|A2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trained,treind,,,a. shaped or conditioned or disciplined by training; often used as a combining form,"a. 训练过的, 受过培训的；培训",,F,,6873,7734,0:train/1:dp/d:trained/p:trained,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trainee,trei'ni:,,,n. someone who is being trained,"n. 实习生, 新兵, 受培训者",1,F,,4756,10931,s:trainees,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
trainer,'treinә,,,n. one who trains other persons or animals,"n. 训练员, 驯马师",1,F,gk,3854,4458,s:trainers,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
training,'treiniŋ,,,n. activity leading to skilled behavior,"n. 训练, 培养",,T,zk gk cet4 cet6 ky ielts,516,796,i:training/0:training/1:i,A2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trait,treit,,,n. a distinguishing feature of your personal nature,"n. 特征, 特性, 一笔, 少许",1,F,cet6 ky toefl ielts gre,6541,3737,s:traits,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
traitor,'treitә,,,n. someone who betrays his country by committing treason,"n. 叛逆者, 叛国者",1,F,cet4 cet6 ky toefl ielts gre,10023,9963,s:traitors,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trajectory,trә'dʒektri,,,n. the path followed by an object moving through space,"n. 轨道, 弹道, 轨线",1,F,gre,12757,7728,s:trajectories,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tram,træm,,,v. travel by tram,"n. 电车轨道, 煤车, 纬纱, 纬丝",1,F,gk cet4 cet6 ky,6704,14885,s:trams/i:tramming/p:trammed/3:trams/d:trammed,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tramp,træmp,,,n. a disreputable vagrant,"n. 坚实(或沉重)的脚步声, 流浪者",1,F,cet4 cet6 ky ielts gre,8896,16137,s:tramps/i:tramping/p:tramped/d:tramped/3:tramps,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transaction,træn'sækʃәn,,,n. the act of transacting within or between groups (as carrying on commercial activities),"n. 交易, 办理, 学报, 和解协议",,F,cet6 ky toefl ielts gre,2065,3813,s:transactions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transcend,træn'send,,,v be greater in scope or size than some standard,"vt. 超越, 胜过",1,F,cet6 ky toefl ielts gre,10296,6661,3:transcends/p:transcended/i:transcending/d:transcended,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transcribe,træn'skraib,,,"v. write out from speech, notes, etc.","vt. 抄写, 译, 意译, 录制, 改编",1,F,gre,11892,9467,d:transcribed/i:transcribing/p:transcribed/3:transcribes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transcript,'trænskript,,,n. something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech,"n. 抄本, 副本, 成绩单",2,F,toefl ielts,9006,6204,s:transcripts,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transcription,træn'skripʃәn,,,"n. something written, especially copied from one medium to another, as a typewritten version of dictation","n. 抄写, 抄本",,F,,6786,14175,s:transcriptions,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transfer,træns'fә:,,,n. someone who transfers or is transferred from one position to another,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车",4,T,cet4 cet6 ky toefl ielts gre,1593,2315,d:transferred/s:transfers/i:transferring/p:transferred/3:transfers,B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transform,træns'fɒ:m,,,v. subject to a mathematical transformation,"vt. 使转换, 改变, 改造, 使...变形",3,T,gk cet4 cet6 ky toefl ielts,2693,2185,d:transformed/i:transforming/p:transformed/3:transforms,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transformation,.trænsfә'meiʃәn,,,n. a qualitative change,"n. 变形, 变质, 变化, 改革, 变换",,F,cet4 cet6 toefl,3415,3290,s:transformations,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transit,'trænsit,,,v. make a passage or journey from one place to another,"n. 经过, 通行, 运输, 运输线, 转变",2,F,cet6 toefl ielts,6107,4859,s:transits/i:transiting/d:transitted/p:transited/3:transits,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transition,træn'ziʃәn,,,n. a change from one place or state or subject or stage to another,"n. 转变, 转换, 变迁, 过渡时期, 临时转调",3,F,cet6 ky toefl ielts gre,2912,2212,s:transitions/d:transitioned/i:transitioning/p:transitioned/3:transitions,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transitional,træn'siʒәnl,,,a. of or relating to or characterized by transition,"a. 变迁的, 过渡期的",,F,,7337,8414,s:transitionals,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
translate,træns'leit,,,v. restate (words) from one language into another language,"vt. 翻译, 解释, 转化, 转变为, 调动",2,T,zk gk cet4 cet6 ky,3281,2729,d:translated/i:translating/3:translates/p:translated,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
translation,træns'leiʃәn,,,n. a written communication in a second language having the same meaning as the written communication in a first language,"n. 翻译, 译文, 转化, 调任, 平移, 转译",2,T,gk cet4 cet6 ky toefl,3982,4290,s:translations,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
translator,træn'leitә,,,n. a person who translates written messages from one language to another,n. 翻译者,2,F,gk,12093,6785,s:translators,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transmission,træns'miʃәn,,,n. the act of sending a message; causing a message to be transmitted,"n. 传输, 传送, 变速器",2,F,cet4 cet6 ky toefl ielts,4198,3665,s:transmissions,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transmit,træns'mit,,,v. send from one person or place to another,"vt. 传输, 传染, 传达, 遗传, 发射, 传播",2,F,cet4 cet6 ky toefl gre,4532,4836,d:transmitted/i:transmitting/p:transmitted/3:transmits,B2,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transnational,træns'næʃәnl,,,s involving or operating in several nations or nationalities,"a. 超越国界的, 跨国的",,F,,10882,9739,s:transnationals,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
transparency,træns'pærәnsi,,,n. permitting the free passage of electromagnetic radiation,"n. 透明, 透明度, 透过性, 透明物, 清晰",1,F,,11856,8532,s:transparencies,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transparent,træns'pærәnt,,,s. easily understood or seen through (because of a lack of subtlety),"a. 透明的, 显然的, 清晰的",1,T,gk cet4 cet6 ky toefl ielts gre,6902,5884,s:transparents,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transplant,træns'plɑ:nt,,,n. an operation moving an organ from one organism (the donor) to another (the recipient),"vt. 使移居, 移植, 使迁移",2,F,cet4 cet6 ky toefl ielts,8061,5386,s:transplants/d:transplanted/p:transplanted/i:transplanting/3:transplants,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
transport,træns'pɒ:t,,,n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes,"n. 运输, 运输工具, 激动, 狂喜, 流放犯",4,T,gk cet4 cet6 ky ielts gre,1202,4640,d:transported/i:transporting/p:transported/3:transports/s:transports,A2|B1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
transportation,.trænspә'teiʃәn,,,n. the act of moving something from one location to another,"n. 运输, 输送, 交通车辆",2,F,cet4 cet6 ielts,7832,2374,s:transportations,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trap,træp,,,n. a device in which something (usually an animal) can be caught and penned,"n. 圈套, 陷阱, 诡计, 存水弯",3,T,gk cet4 cet6 ky toefl ielts,3373,3538,d:trapped/s:traps/p:trapped/i:trapping/3:traps,B2,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trash,træʃ,,,n. worthless people,"n. 垃圾, 废物",1,F,ky toefl,16241,4408,p:trashed/i:trashing/d:trashed/3:trashes,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
trauma,'trɒ:mә,,,n. an emotional wound or shock often having long-lasting effects,"n. 外伤, 损伤",2,F,ielts,7569,4824,s:traumas,C1,n.,1,F,ECDICT|OXFORD_REPO,F,
traumatic,trɒ:'mætik,,,a. of or relating to a physical injury or wound to the body,"a. 外伤的, 创伤的",,F,,8596,7301,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
travel,'trævl,,,n. the act of going from one place to another,"n. 旅行, 游历, 行进",4,T,zk gk ielts,1132,1081,i:travelling/p:travelled/d:travelled/s:travels/3:travels,A1,n.|v.,2,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
traveler,'trævlә,,,n. a person who changes location,"n. 旅行者, 游客, 旅客, 旅行推销员, 活动起重架, 行车, 临时记帐单",,F,gk,,3795,s:travelers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
traveling,'trævliŋ,,,n the act of going from one place to another,"a. 旅行的, 旅行用的, 移动的",,F,ielts,,9505,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
traveller,'trævlә,,,n a person who changes location,n. 旅行者,3,T,,3016,20361,s:travellers,A2,n.,1,F,ECDICT|OXFORD_REPO,F,
travelling,'trævliŋ,,,n the act of going from one place to another,"a. 旅行的, 旅行用的, 移动的",,F,,5928,28033,0:travel/1:i/i:travelling,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
traverse,'trævә:s,,,v. travel across or pass over,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳",1,F,cet6 toefl ielts gre,11616,9649,d:traversed/i:traversing/p:traversed/3:traverses/s:traverses,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
travis,'trævis,,,,n. 崔维斯合唱团；特拉维斯（男子名）,,F,,6828,,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
tray,trei,,,n. an open receptacle for holding or displaying or serving articles or food,"n. 托盘, 公文盘, 满盘, 发射箱",2,F,cet4 cet6 ky toefl,3885,4469,s:trays,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
treacherous,'tretʃәrәs,,,s. dangerously unstable and unpredictable,"a. 不可信任的, 危险的, 背叛的, 不可靠的",1,F,toefl gre,9960,10946,,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tread,tred,,,n. the grooved surface of a pneumatic tire,"n. 踏, 步态, 梯级, 交尾, 鞋底",2,F,cet6 toefl gre,5533,8263,i:treading/p:trod/d:trodden/3:treads/s:treads,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
treadmill,'tredmil,,,n. an exercise device consisting of an endless belt on which a person can walk or jog without changing place,"n. 踏车, 令人厌倦的工作",1,F,toefl,19289,9677,s:treadmills,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
treasure,'treʒә,,,n. accumulated wealth in the form of money or jewels etc.,"n. 宝物, 财富",2,F,zk gk cet4 cet6 ky toefl,4538,4074,s:treasures/d:treasured/p:treasured/3:treasures/i:treasuring,B2,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
treasurer,'treʒәrә,,,n. an officer charged with receiving and disbursing funds,"n. 会计, 出纳员, 司库",1,F,cet6 gre,5768,11019,s:treasurers,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
treasury,'treʒәri,,,n. the funds of a government or institution or individual,"n. 国库, 宝库, 财政部, 国库券",3,F,,2900,9660,s:treasuries,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
treat,tri:t,,,n. an occurrence that causes special pleasure or delight,"n. 宴请, 款待",4,T,gk cet4 cet6 ky toefl,856,960,d:treated/i:treating/p:treated/3:treats/s:treats,B1,v.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
treatment,'tri:tmәnt,,,n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),"n. 治疗, 待遇, 处理",4,T,zk gk cet4 cet6 toefl ielts,766,745,s:treatments,B1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
treaty,'tri:ti,,,n. a written agreement between two states or sovereigns,"n. 条约, 谈判",4,F,cet4 cet6 ky ielts gre,1659,2836,s:treaties,C1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tree,tri:,,,n. a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms,"n. 树, 木料, 树状物",4,T,zk gk ielts,680,596,s:trees/i:treeing/p:treed/3:trees/d:treed,A1,n.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
trek,trek,,,n. a journey by ox wagon (especially an organized migration by a group of settlers),"vi. 牛拉货车, 艰苦跋涉",2,F,ielts gre,11501,9100,i:trekking/p:trekked/s:treks/d:trekked/3:treks,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
tremble,'trembl,,,n. a reflex motion caused by cold or fear or excitement,"n. 战栗, 颤抖",2,F,gk cet4 cet6 ky toefl ielts,4432,5233,i:trembling/p:trembled/3:trembles/d:trembled,,,0,T,ECDICT|WEBSTER_1913,T,Missing Oxford cross-check or Chinese translation.
tremendous,tri'mendәs,,,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman","a. 巨大的, 非常的, 可怕的",3,F,cet4 cet6 ky toefl ielts gre,3501,2768,,C1,adj.,1,T,ECDICT|OXFORD_REPO|WEBSTER_1913,F,
tremendously,trə'mendəslɪ,,,r extremely,adv. 极大地; 极端地; 极其; 非常,,F,cet6,11211,8855,,,,0,F,ECDICT,T,Missing Oxford cross-check or Chinese translation.
